lat	lon	title	icon	iconSize	iconOffset	description
26.217	-96.5	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42045	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42045' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42045</button></a><br/>26.22&deg;N -96.50&deg;E<br/>Provider: TABS</div>
27.89	-94.037	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42046	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42046' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42046</button></a><br/>27.89&deg;N -94.04&deg;E<br/>Provider: TABS</div>
27.897	-93.597	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42047	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42047' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42047</button></a><br/>27.90&deg;N -93.60&deg;E<br/>Provider: TABS</div>
27.94	-96.843	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42048	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42048' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42048</button></a><br/>27.94&deg;N -96.84&deg;E<br/>Provider: TABS</div>
28.351	-96.006	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42049	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42049' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42049</button></a><br/>28.35&deg;N -96.01&deg;E<br/>Provider: TABS</div>
28.843	-94.242	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42050	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42050' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42050</button></a><br/>28.84&deg;N -94.24&deg;E<br/>Provider: TABS</div>
29.635	-93.642	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42051	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42051' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42051</button></a><br/>29.64&deg;N -93.64&deg;E<br/>Provider: TABS</div>
22.203	-94.0	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42055	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42055' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42055</button></a><br/>22.20&deg;N -94.00&deg;E<br/>Provider: NDBC</div>
19.802	-84.857	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42056	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42056' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42056</button></a><br/>19.80&deg;N -84.86&deg;E<br/>Provider: NDBC</div>
30.043	-88.649	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42067	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42067' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42067</button></a><br/>30.04&deg;N -88.65&deg;E<br/>Provider: USM</div>
27.34	-84.245	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42099	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42099' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42099</button></a><br/>27.34&deg;N -84.25&deg;E<br/>Provider: SCRIPPS</div>
26.7	-90.46	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42360	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42360' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42360</button></a><br/>26.70&deg;N -90.46&deg;E<br/>Provider: Petrobras</div>
27.55	-92.49	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42361	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42361' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42361</button></a><br/>27.55&deg;N -92.49&deg;E<br/>Provider: Shell Oil</div>
27.8	-90.67	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42362	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42362' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42362</button></a><br/>27.80&deg;N -90.67&deg;E<br/>Provider: Shell Oil</div>
28.16	-89.22	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42363	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42363' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42363</button></a><br/>28.16&deg;N -89.22&deg;E<br/>Provider: Shell Oil</div>
29.06	-88.09	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42364	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42364' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42364</button></a><br/>29.06&deg;N -88.09&deg;E<br/>Provider: Shell Oil</div>
28.2	-89.12	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42365	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42365' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42365</button></a><br/>28.20&deg;N -89.12&deg;E<br/>Provider: Shell Oil</div>
27.122	-91.959	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42366	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42366' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42366</button></a><br/>27.12&deg;N -91.96&deg;E<br/>Provider: Kerr-McGee</div>
28.743	-88.826	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42367	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42367' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42367</button></a><br/>28.74&deg;N -88.83&deg;E<br/>Provider: Total USA</div>
27.204	-92.203	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42368	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42368' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42368</button></a><br/>27.20&deg;N -92.20&deg;E<br/>Provider: ConocoPhillips</div>
27.207	-90.283	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42369	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42369' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42369</button></a><br/>27.21&deg;N -90.28&deg;E<br/>Provider: BP Inc</div>
27.321	-90.536	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42370	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42370' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42370</button></a><br/>27.32&deg;N -90.54&deg;E<br/>Provider: BP Inc</div>
27.779	-90.519	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42372	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42372' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42372</button></a><br/>27.78&deg;N -90.52&deg;E<br/>Provider: Chevron</div>
27.354	-94.625	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42373	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42373' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42373</button></a><br/>27.35&deg;N -94.62&deg;E<br/>Provider: Kerr-McGee</div>
28.866	-88.056	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42374	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42374' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42374</button></a><br/>28.87&deg;N -88.06&deg;E<br/>Provider: BP Inc</div>
28.521	-88.289	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42375	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42375' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42375</button></a><br/>28.52&deg;N -88.29&deg;E<br/>Provider: BP Inc</div>
29.108	-87.944	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42376	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42376' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42376</button></a><br/>29.11&deg;N -87.94&deg;E<br/>Provider: BP Inc</div>
27.293	-90.968	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42377	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42377' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42377</button></a><br/>27.29&deg;N -90.97&deg;E<br/>Provider: Kerr-McGee</div>
27.362	-90.181	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42379	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42379' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42379</button></a><br/>27.36&deg;N -90.18&deg;E<br/>Provider: Anadarko</div>
28.209	-88.738	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42380	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42380' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42380</button></a><br/>28.21&deg;N -88.74&deg;E<br/>Provider: Williams</div>
28.221	-89.616	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42381	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42381' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42381</button></a><br/>28.22&deg;N -89.62&deg;E<br/>Provider: ATP</div>
27.304	-93.538	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42382	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42382' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42382</button></a><br/>27.30&deg;N -93.54&deg;E<br/>Provider: Kerr-McGee</div>
27.37	-89.924	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42383	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42383' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42383</button></a><br/>27.37&deg;N -89.92&deg;E<br/>Provider: BHP</div>
27.993	-90.326	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42384	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42384' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42384</button></a><br/>27.99&deg;N -90.33&deg;E<br/>Provider: El Paso E&P Company, L.P.</div>
28.34	-88.266	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42385	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42385' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42385</button></a><br/>28.34&deg;N -88.27&deg;E<br/>Provider: Chevron</div>
27.326	-90.714	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42386	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42386' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42386</button></a><br/>27.33&deg;N -90.71&deg;E<br/>Provider: Chevron</div>
28.267	-88.399	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42387	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42387' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42387</button></a><br/>28.27&deg;N -88.40&deg;E<br/>Provider: Murphy</div>
27.73	-91.109	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42388	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42388' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42388</button></a><br/>27.73&deg;N -91.11&deg;E<br/>Provider: Helix</div>
26.129	-94.898	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42390	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42390' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42390</button></a><br/>26.13&deg;N -94.90&deg;E<br/>Provider: Shell Oil</div>
28.034	-89.101	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42391	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42391' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42391</button></a><br/>28.03&deg;N -89.10&deg;E<br/>Provider: ATP</div>
27.196	-90.027	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42392	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42392' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42392</button></a><br/>27.20&deg;N -90.03&deg;E<br/>Provider: BP Inc</div>
27.301	-90.135	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42393	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42393' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42393</button></a><br/>27.30&deg;N -90.14&deg;E<br/>Provider: BHP</div>
27.401	-85.671	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42429	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42429' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42429</button></a><br/>27.40&deg;N -85.67&deg;E<br/>Provider: NDBC</div>
26.863	-91.587	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42851	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42851' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42851</button></a><br/>26.86&deg;N -91.59&deg;E<br/>Provider: Shell Oil</div>
28.501	-89.769	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42852	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42852' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42852</button></a><br/>28.50&deg;N -89.77&deg;E<br/>Provider: LLOG</div>
27.589	-92.282	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42854	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42854' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42854</button></a><br/>27.59&deg;N -92.28&deg;E<br/>Provider: Amerada Hess</div>
26.157	-91.873	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42855	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42855' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42855</button></a><br/>26.16&deg;N -91.87&deg;E<br/>Provider: Anadarko</div>
